datetime,tornet_energy_consumed_heat_kwh,tornet_electricity_consumed_household_kwh,tornet_electricity_produced_PV_kwh,tornet_net_energy_consumed_kwh,tornet_net_electricity_consumption_ignr_heat_kwh,coop_electricity_consumed_cooling_kwh,coop_electricity_consumed_other_kwh,coop_hw_consumed_kwh,coop_space_heat_consumed_kwh,coop_energy_consumed_heat_kwh,coop_electricity_produced_rooftop_PV_kwh,coop_energy_consumed_total_kwh,coop_net_energy_consumed_before_wasteheat_kwh,coop_net_electricity_consumed_kwh,coop_energy_produced_wasteheat_kwh,coop_net_space_heat_consumed
2019-02-01 00:00:00+00:00,1616.3992421904327,206.2577964869327,0.0,1822.6570386773653,206.2577964869327,62.01346416182926,68.70621165901197,0.0,88.49445993812988,88.49445993812988,0.0,219.2141357589711,219.2141357589711,130.71967582084125,186.04039248548779,-97.5459325473579
2019-02-01 01:00:00+00:00,1777.8958879784057,251.626273102452,0.0,2029.5221610808576,251.626273102452,54.82228757997568,75.6709655813371,0.0,92.21200652304483,92.21200652304483,0.0,222.70525968435763,222.70525968435763,130.4932531613128,164.46686273992702,-72.25485621688219
2019-02-01 02:00:00+00:00,1835.482602773025,343.8570940114838,0.0,2179.3396967845088,343.8570940114838,56.825155822269046,97.74682434797651,0.0,95.17680099423522,95.17680099423522,0.0,249.74878116448076,249.74878116448076,154.57198017024555,170.47546746680715,-75.29866647257192
2019-02-01 03:00:00+00:00,1510.2651502609106,287.754150150118,0.0,1798.0193004110286,287.754150150118,68.88123121053978,86.87845653219874,0.0,98.45493014043836,98.45493014043836,0.0,254.21461788317689,254.21461788317689,155.75968774273852,206.64369363161933,-108.18876349118096
2019-02-01 04:00:00+00:00,1475.363574913409,356.86395801640447,0.0,1832.2275329298134,356.86395801640447,76.15461169362895,75.6213294963496,0.0,118.1273843117594,118.1273843117594,0.0,269.9033255017379,269.9033255017379,151.77594118997854,228.46383508088684,-110.33645076912744
2019-02-01 05:00:00+00:00,1497.2066501081054,432.9939823542832,0.0,1930.2006324623885,432.9939823542832,91.6148501537509,86.56406463980014,9.939310670828135,138.0073539107635,147.94666458159162,0.0,326.12557937514265,326.12557937514265,178.17891479355103,274.84455046125265,-136.83719655048915
2019-02-01 06:00:00+00:00,1786.3720544373348,780.5522686021578,0.0,2566.9243230394927,780.5522686021578,85.4069385981643,176.87318510353398,8.320280481381422,124.39754693815108,132.7178274195325,0.0,394.9979511212308,394.9979511212308,262.2801237016983,256.2208157944929,-131.82326885634183
2019-02-01 07:00:00+00:00,2233.272674534437,558.5673468642755,0.0,2791.8400213987125,558.5673468642755,89.60169384043832,127.11111082215116,5.256884806298186,107.81608744050202,113.0729722468002,0.0,329.78577690938965,329.78577690938965,216.71280466258946,268.80508152131495,-160.98899408081292
2019-02-01 08:00:00+00:00,1856.7294798733144,489.9570634398944,102.9490491335518,2243.737494179657,387.0080143063426,88.8910959167554,128.0551275638462,10.112921537751092,105.04882733584326,115.16174887359435,0.67584,332.10797235419597,331.43213235419597,216.27038348060162,266.67328775026624,-161.62446041442297
2019-02-01 09:00:00+00:00,1777.6125447715206,360.559469652393,312.0643051860789,1826.1077092378346,48.495164466314066,94.63613099883146,131.30755338730484,8.999305524598826,136.12513920067315,145.12444472527199,2.04864,371.06812911140827,369.0194891114083,223.89504438613628,283.9083929964944,-147.78325379582125
2019-02-01 10:00:00+00:00,1609.9606160850046,310.5298264865256,382.0374870190399,1538.4529555524905,-71.50766053251425,93.74715427026578,124.42242155093204,8.768292251332072,117.04407651578578,125.81236876711785,2.508,343.9819445883157,341.4739445883157,215.66157582119783,281.2414628107973,-164.19738629501154
2019-02-01 11:00:00+00:00,1283.107134019274,354.1740617000751,443.16348494208626,1194.1177107772628,-88.98942324201118,99.30089524464611,131.56991193351064,7.377739370381652,124.31815767060904,131.6958970409907,2.9092800000000003,362.5667042191475,359.65742421914746,227.96152717815676,297.90268573393837,-173.58452806332934
2019-02-01 12:00:00+00:00,1453.5173047477165,294.3258842986057,419.8390909977659,1328.0040980485562,-125.51320669916021,96.46895144174228,119.7468986647792,7.051568541881039,94.41777809904936,101.4693466409304,2.7561600000000004,317.68519674745187,314.92903674745185,213.4596901065215,289.40685432522685,-194.98907622617747
2019-02-01 13:00:00+00:00,1798.4298322466125,379.57357847531006,331.3672518986199,1846.6361588233026,48.206326576690174,93.6087641984613,133.63829979144523,9.25628926849154,112.2088515637155,121.46514083220704,2.17536,348.71220482211356,346.53684482211355,225.07170398990652,280.8262925953839,-168.61744103166842
2019-02-01 14:00:00+00:00,1420.8735393989516,447.36650634585175,286.32704290269095,1581.9130028421125,161.0394634431608,94.73588531432632,141.64692775618676,8.723282785544527,100.1772059262892,108.90048871183373,1.87968,345.2833017823468,343.4036217823468,234.50313307051306,284.207655942979,-184.03045001668977
2019-02-01 15:00:00+00:00,1705.6284153783724,421.707053474672,20.107236158896836,2107.2282326941477,401.59981731577517,94.32951397262444,138.7556305666252,8.656296761042777,110.52008996614556,119.17638672718834,0.132,352.261531266438,352.129531266438,232.95314453924965,282.9885419178733,-172.46845195172773
2019-02-01 16:00:00+00:00,2377.5745042524554,395.2653902011031,0.0,2772.8398944535584,395.2653902011031,99.7553144229435,129.42125570090028,10.68802259413742,104.70087872306132,115.38890131719874,0.0,344.5654714410425,344.5654714410425,229.17657012384376,299.2659432688305,-194.56506454576916
2019-02-01 17:00:00+00:00,1770.0981479264974,773.3423590205268,0.0,2543.440506947024,773.3423590205268,91.07678829971778,133.63927995161146,5.838776473073787,113.8669301770404,119.7057066501142,0.0,344.4217749014434,344.4217749014434,224.71606825132923,273.2303648991533,-159.3634347221129
2019-02-01 18:00:00+00:00,1855.7849993454995,713.9360684700974,0.0,2569.721067815597,713.9360684700974,92.21880686036975,121.4266136512958,6.551142983938593,114.5950491369744,121.14619212091299,0.0,334.79161263257856,334.79161263257856,213.64542051166555,276.6564205811093,-162.06137144413486
2019-02-01 19:00:00+00:00,3303.35870262227,467.81995480973205,0.0,3771.178657432002,467.81995480973205,86.22318446257367,98.4667650806518,8.210093543815878,94.57096586617298,102.78105940998886,0.0,287.4710089532143,287.4710089532143,184.68994954322545,258.669553387721,-164.09858752154804
2019-02-01 20:00:00+00:00,2418.7988316670358,627.4103569418046,0.0,3046.20918860884,627.4103569418046,73.6458701107839,85.08669303723548,7.163664974196291,96.9884371059053,104.1521020801016,0.0,262.884665228121,262.884665228121,158.73256314801938,220.9376103323517,-123.9491732264464
2019-02-01 21:00:00+00:00,1721.2265098967032,794.09104191839,0.0,2515.3175518150933,794.09104191839,72.54055454025493,97.81426040859228,0.0,109.8431384850499,109.8431384850499,0.0,280.1979534338971,280.1979534338971,170.3548149488472,217.6216636207648,-107.77852513571489
2019-02-01 22:00:00+00:00,1824.577830115218,485.0829258314211,0.0,2309.6607559466393,485.0829258314211,65.54710339210263,84.43361917409165,0.0,103.51135241619173,103.51135241619173,0.0,253.49207498238601,253.49207498238601,149.9807225661943,196.64131017630788,-93.12995776011616
2019-02-01 23:00:00+00:00,1729.4676061611128,315.8181168234844,0.0,2045.2857229845972,315.8181168234844,52.8048328089978,65.91735538681395,0.0,88.71729207301972,88.71729207301972,0.0,207.43948026883146,207.43948026883146,118.72218819581175,158.41449842699342,-69.6972063539737
2019-02-02 00:00:00+00:00,1704.407673201507,305.94972432513896,0.0,2010.3573975266459,305.94972432513896,64.67429509335513,69.55687832813638,0.0,91.30306420284516,91.30306420284516,0.0,225.5342376243367,225.5342376243367,134.23117342149152,194.0228852800654,-102.71982107722023
2019-02-02 01:00:00+00:00,1356.5025621030736,369.3799563891459,0.0,1725.8825184922196,369.3799563891459,46.76643322161556,82.39646697256944,0.0,104.6077392808369,104.6077392808369,0.0,233.77063947502188,233.77063947502188,129.162900194185,140.29929966484667,-35.691560384009776
2019-02-02 02:00:00+00:00,1291.4138291741713,404.7022641804673,0.0,1696.1160933546385,404.7022641804673,52.87196188057975,87.05955271467913,0.0,115.9234729550151,115.9234729550151,0.0,255.85498755027396,255.85498755027396,139.93151459525888,158.61588564173923,-42.692412686724126
2019-02-02 03:00:00+00:00,1213.3744599395775,524.759114456162,0.0,1738.1335743957395,524.759114456162,58.23540218716238,101.26402335906972,0.0,107.71264345498383,107.71264345498383,0.0,267.2120690012159,267.2120690012159,159.4994255462321,174.70620656148714,-66.9935631065033
2019-02-02 04:00:00+00:00,1296.290903803311,430.4787909398343,0.0,1726.7696947431455,430.4787909398343,66.61795792293736,63.33554156907527,0.0,102.62665693355648,102.62665693355648,0.0,232.5801564255691,232.5801564255691,129.95349949201264,199.8538737688121,-97.22721683525562
2019-02-02 05:00:00+00:00,1261.9248521883817,385.151492919563,0.0,1647.0763451079447,385.151492919563,89.1984195858778,70.56990709507812,6.368521726226791,107.2652107595676,113.63373248579438,0.0,273.4020591667503,273.4020591667503,159.7683266809559,267.5952587576334,-160.33004799806582
2019-02-02 06:00:00+00:00,1346.741964259455,433.9133254183668,0.0,1780.6552896778219,433.9133254183668,84.87181447968928,165.21657591036055,5.58674632715421,89.13927348947608,94.7260198166303,0.0,344.8144102066801,344.8144102066801,250.08839039004982,254.61544343906783,-165.47616994959174
2019-02-02 07:00:00+00:00,1373.563545826397,337.86023907469854,0.0,1711.4237849010956,337.86023907469854,95.4345561806812,112.70132193484304,8.567452784276355,109.98235953153804,118.54981231581439,0.0,326.6856904313386,326.6856904313386,208.13587811552424,286.3036685420436,-176.3213090105056
2019-02-02 08:00:00+00:00,1130.9958110095074,336.67484985118665,111.7962330434664,1355.8744278172278,224.87861680772025,85.84294169520584,109.26709558333825,9.323224594515436,108.6563187106076,117.97954330512303,0.7339200000000001,313.08958058366716,312.35566058366715,194.3761172785441,257.52882508561754,-148.87250637500995
